1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_annotation	1_meta_corpus	1_meta_version_date	1_meta_version_n
52340946	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_22	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52341015	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	42_Luke_22	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52345753	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	42_Luke_22	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52367625	ⲏⲉⲓ	obj	ⲏⲓ	ⲏⲉⲓ	N	43_John_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52367644	ⲏⲉⲓ	nmod	ⲏⲓ	ⲏⲉⲓ	N	43_John_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52367732	ⲏⲉⲓ	nmod	ⲏⲓ	ⲏⲉⲓ	N	43_John_02	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52379854	ⲏⲉⲓ	conj	ⲏⲓ	ⲏⲉⲓ	N	43_John_04	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52401311	ⲏⲉⲓ	dislocated	ⲏⲓ	ⲏⲉⲓ	N	43_John_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52403944	ⲏⲓ	obl	ⲏⲓ	ⲏⲓ	N	43_John_07	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52419714	ⲏⲉⲓ	obl	ⲏⲓ	ⲏⲉⲓ	N	43_John_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52420772	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	43_John_11	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52424756	ⲏⲓ	nsubj	ⲏⲓ	ⲏⲓ	N	43_John_12	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
52435488	ⲏⲓ	nmod	ⲏⲓ	ⲏⲓ	N	43_John_14	Caroline T. Schroeder, Amir Zeldes	sahidica.nt	2018-04-01	2.5.0
