Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
ⲉⲓⲙⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲉⲡⲓⲧⲓⲙⲓⲁ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲓⲉⲣⲉⲙⲓⲁⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲕⲓⲙ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲕⲱϩ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲗⲁⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲙⲁⲑⲏⲧⲏⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲙⲓⲭⲁ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲙⲟⲩϣⲧ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲙⲟⲩⲟⲩⲧ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲙⲫⲟⲅⲱⲣ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲛⲇⲁⲅⲱⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲛⲇⲁⲇ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲛⲉⲧⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲛⲟⲃⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲛⲧⲉ_ⲁⲛⲟⲕ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲟⲩⲁⲁ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲟⲩⲉⲣⲏⲧⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲟⲩⲛ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲟⲩⲣⲓⲁⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲟⲩⲱϣⲧ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲟⲩⲱⲛϩ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲡⲉⲧ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲡⲉⲧⲣⲁ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲡⲟⲗⲉⲓⲥ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲡⲟⲣⲛⲏ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲡⲩⲗⲏ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲡⲱⲧ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲣϩⲟⲧⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲣⲉϥϫⲓ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
ⲣⲟⲙⲡⲉ	1	3	1.3924991E-4	NaN	NaN	2.7849982E-4
